[33, 7, 2, 0.019923925399780273, 'SF:', 49, 'SB:', 0]
[33, 8, 0, 0.007462978363037109, 'SF:', 231, 'SB:', 182]
[33, 8, 1, 0.09535408020019531, 'SF:', 231, 'SB:', 182]
[33, 8, 2, 0.021023035049438477, 'SF:', 49, 'SB:', 0]
[33, 9, 0, 0.013885974884033203, 'SF:', 361, 'SB:', 312]
[33, 9, 1, 0.1738741397857666, 'SF:', 361, 'SB:', 312]
[33, 9, 2, 0.019520998001098633, 'SF:', 49, 'SB:', 0]
[32, 0, 0, 0.0031180381774902344, 'SF:', 121, 'SB:', 71]
[32, 0, 1, 0.03661322593688965, 'SF:', 121, 'SB:', 71]
[32, 0, 2, 0.021142959594726562, 'SF:', 50, 'SB:', 0]
[32, 1, 0, 0.012580156326293945, 'SF:', 348, 'SB:', 298]
[32, 1, 1, 0.16655492782592773, 'SF:', 348, 'SB:', 298]
[32, 1, 2, 0.020807981491088867, 'SF:', 50, 'SB:', 0]
[32, 2, 0, 0.01009511947631836, 'SF:', 272, 'SB:', 222]
[32, 2, 1, 0.09711694717407227, 'SF:', 272, 'SB:', 222]
[32, 2, 2, 0.02104020118713379, 'SF:', 50, 'SB:', 0]
[32, 3, 0, 0.011864185333251953, 'SF:', 275, 'SB:', 225]
[32, 3, 1, 0.12710881233215332, 'SF:', 275, 'SB:', 225]
[32, 3, 2, 0.02088189125061035, 'SF:', 50, 'SB:', 0]
[32, 4, 0, 0.06095695495605469, 'SF:', 1473, 'SB:', 1423]
[32, 4, 1, 0.713371992111206, 'SF:', 1473, 'SB:', 1423]
[32, 4, 2, 0.020935773849487305, 'SF:', 50, 'SB:', 0]
[32, 5, 0, 0.011704206466674805, 'SF:', 336, 'SB:', 286]
[32, 5, 1, 0.18276309967041016, 'SF:', 336, 'SB:', 286]
[32, 5, 2, 0.021214008331298828, 'SF:', 50, 'SB:', 0]
[32, 6, 0, 0.004102945327758789, 'SF:', 147, 'SB:', 97]
[32, 6, 1, 0.05115389823913574, 'SF:', 147, 'SB:', 97]
[32, 6, 2, 0.021326065063476562, 'SF:', 50, 'SB:', 0]
[32, 7, 0, 0.014073848724365234, 'SF:', 344, 'SB:', 294]
[32, 7, 1, 0.16096210479736328, 'SF:', 344, 'SB:', 294]
[32, 7, 2, 0.022458791732788086, 'SF:', 50, 'SB:', 0]
[32, 8, 0, 0.031272172927856445, 'SF:', 848, 'SB:', 798]
[32, 8, 1, 0.6640839576721191, 'SF:', 848, 'SB:', 798]
