[(17, 2, 0, 0, 2, 2), 7.47850227355957, 'Switches:', 27387, 'NO:', 2742, 'SO:', 31721, 'PLT', 0, 'PTRN', 0, 'RW', 1057]
[(18, 2, 0, 0, 2, 2), 24.382462978363037, 'Switches:', 78683, 'NO:', 7815, 'SO:', 89349, 'PLT', 0, 'PTRN', 0, 'RW', 2986]
[(19, 2, 0, 0, 2, 2), 10.936085939407349, 'Switches:', 43269, 'NO:', 4272, 'SO:', 49533, 'PLT', 0, 'PTRN', 0, 'RW', 1649]
[(20, 2, 0, 0, 2, 2), 7.948822021484375, 'Switches:', 32692, 'NO:', 3322, 'SO:', 37791, 'PLT', 0, 'PTRN', 0, 'RW', 1256]
[(1, 2, 0, 0, 2, 3), 1.7355470657348633, 'Switches:', 5973, 'NO:', 1151, 'SO:', 11986, 'PLT', 0, 'PTRN', 0, 'RW', 394]
[(1, 2, 0, 0, 2, 4), 140.20013189315796, 'Switches:', 515301, 'NO:', 97382, 'SO:', 1074287, 'PLT', 0, 'PTRN', 0, 'RW', 34828]
[(1, 2, 0, 0, 2, 5), 66.52058696746826, 'Switches:', 255232, 'NO:', 48069, 'SO:', 527168, 'PLT', 0, 'PTRN', 0, 'RW', 17158]
[(1, 2, 0, 0, 2, 6), 367.49534606933594, 'Switches:', 1366341, 'NO:', 257781, 'SO:', 2836578, 'PLT', 0, 'PTRN', 0, 'RW', 92175]
[(1, 2, 0, 0, 2, 7), 88.34702587127686, 'Switches:', 325662, 'NO:', 61634, 'SO:', 679855, 'PLT', 0, 'PTRN', 0, 'RW', 22032]
[(1, 2, 0, 0, 2, 8), 728.6005880832672, 'Switches:', 2699362, 'NO:', 510189, 'SO:', 5626562, 'PLT', 0, 'PTRN', 0, 'RW', 182382]
[(1, 2, 0, 0, 2, 9), 298.6944932937622, 'Switches:', 1006844, 'NO:', 189956, 'SO:', 2092656, 'PLT', 0, 'PTRN', 0, 'RW', 67986]
[(1, 2, 0, 0, 2, 10), 302.71085500717163, 'Switches:', 1077147, 'NO:', 203646, 'SO:', 2238562, 'PLT', 0, 'PTRN', 0, 'RW', 72912]
[(2, 2, 0, 0, 2, 3), 9.940384149551392, 'Switches:', 34985, 'NO:', 5114, 'SO:', 56515, 'PLT', 0, 'PTRN', 0, 'RW', 1847]
[(2, 2, 0, 0, 2, 4), 21.125032901763916, 'Switches:', 71481, 'NO:', 10363, 'SO:', 113300, 'PLT', 0, 'PTRN', 0, 'RW', 3730]
[(2, 2, 0, 0, 2, 5), 233.80043601989746, 'Switches:', 778008, 'NO:', 114259, 'SO:', 1255404, 'PLT', 0, 'PTRN', 0, 'RW', 41268]
[(2, 2, 0, 0, 2, 6), 169.84924983978271, 'Switches:', 540134, 'NO:', 79348, 'SO:', 875392, 'PLT', 0, 'PTRN', 0, 'RW', 28752]
[(2, 2, 0, 0, 2, 7), 8.095337867736816, 'Switches:', 21002, 'NO:', 3103, 'SO:', 34341, 'PLT', 0, 'PTRN', 0, 'RW', 1141]
[(2, 2, 0, 0, 2, 8), 19.311636209487915, 'Switches:', 66071, 'NO:', 9609, 'SO:', 103472, 'PLT', 0, 'PTRN', 0, 'RW', 3431]
[(2, 2, 0, 0, 2, 9), 74.67069005966187, 'Switches:', 251979, 'NO:', 36663, 'SO:', 409122, 'PLT', 0, 'PTRN', 0, 'RW', 13379]
[(2, 2, 0, 0, 2, 10), 40.456148862838745, 'Switches:', 138710, 'NO:', 20392, 'SO:', 222602, 'PLT', 0, 'PTRN', 0, 'RW', 7333]
[(3, 2, 0, 0, 2, 3), 29.464313983917236, 'Switches:', 99616, 'NO:', 13109, 'SO:', 145533, 'PLT', 0, 'PTRN', 0, 'RW', 4794]
[(3, 2, 0, 0, 2, 4), 112.56139922142029, 'Switches:', 380595, 'NO:', 49393, 'SO:', 550795, 'PLT', 0, 'PTRN', 0, 'RW', 18166]
[(3, 2, 0, 0, 2, 5), 23.86809778213501, 'Switches:', 80560, 'NO:', 10485, 'SO:', 117070, 'PLT', 0, 'PTRN', 0, 'RW', 3900]
[(3, 2, 0, 0, 2, 6), 55.0193247795105, 'Switches:', 186427, 'NO:', 24020, 'SO:', 269729, 'PLT', 0, 'PTRN', 0, 'RW', 8851]
[(3, 2, 0, 0, 2, 7), 243.57386803627014, 'Switches:', 843533, 'NO:', 109221, 'SO:', 1215911, 'PLT', 0, 'PTRN', 0, 'RW', 40140]
[(3, 2, 0, 0, 2, 8), 84.73841166496277, 'Switches:', 294664, 'NO:', 38527, 'SO:', 429592, 'PLT', 0, 'PTRN', 0, 'RW', 14133]
[(3, 2, 0, 0, 2, 9), 52.61528396606445, 'Switches:', 182843, 'NO:', 23721, 'SO:', 262600, 'PLT', 0, 'PTRN', 0, 'RW', 8668]
[(3, 2, 0, 0, 2, 10), 91.78580927848816, 'Switches:', 317523, 'NO:', 41034, 'SO:', 460302, 'PLT', 0, 'PTRN', 0, 'RW', 15154]
[(4, 2, 0, 0, 2, 3), 159.72046494483948, 'Switches:', 545890, 'NO:', 65773, 'SO:', 738146, 'PLT', 0, 'PTRN', 0, 'RW', 24407]
[(4, 2, 0, 0, 2, 4), 35.55614900588989, 'Switches:', 124032, 'NO:', 15107, 'SO:', 170006, 'PLT', 0, 'PTRN', 0, 'RW', 5660]
[(4, 2, 0, 0, 2, 5), 7.867025136947632, 'Switches:', 26839, 'NO:', 3279, 'SO:', 35955, 'PLT', 0, 'PTRN', 0, 'RW', 1207]
[(4, 2, 0, 0, 2, 6), 128.38830590248108, 'Switches:', 422685, 'NO:', 50988, 'SO:', 571782, 'PLT', 0, 'PTRN', 0, 'RW', 18991]
[(4, 2, 0, 0, 2, 7), 4.0441200733184814, 'Switches:', 12284, 'NO:', 1470, 'SO:', 16222, 'PLT', 0, 'PTRN', 0, 'RW', 532]
[(4, 2, 0, 0, 2, 8), 128.9501039981842, 'Switches:', 458289, 'NO:', 55006, 'SO:', 620882, 'PLT', 0, 'PTRN', 0, 'RW', 20536]
[(4, 2, 0, 0, 2, 9), 42.56449890136719, 'Switches:', 144388, 'NO:', 17417, 'SO:', 196480, 'PLT', 0, 'PTRN', 0, 'RW', 6511]
[(4, 2, 0, 0, 2, 10), 59.097058057785034, 'Switches:', 207412, 'NO:', 25312, 'SO:', 285519, 'PLT', 0, 'PTRN', 0, 'RW', 9387]
[(5, 2, 0, 0, 2, 3), 40.634376764297485, 'Switches:', 149068, 'NO:', 17161, 'SO:', 194174, 'PLT', 0, 'PTRN', 0, 'RW', 6420]
[(5, 2, 0, 0, 2, 4), 29.373848915100098, 'Switches:', 107476, 'NO:', 12497, 'SO:', 140868, 'PLT', 0, 'PTRN', 0, 'RW', 4658]
[(5, 2, 0, 0, 2, 5), 77.09026098251343, 'Switches:', 283281, 'NO:', 32911, 'SO:', 369396, 'PLT', 0, 'PTRN', 0, 'RW', 12314]
[(5, 2, 0, 0, 2, 6), 21.509247064590454, 'Switches:', 79417, 'NO:', 9031, 'SO:', 102085, 'PLT', 0, 'PTRN', 0, 'RW', 3373]
[(5, 2, 0, 0, 2, 7), 52.46660304069519, 'Switches:', 191469, 'NO:', 22191, 'SO:', 250648, 'PLT', 0, 'PTRN', 0, 'RW', 8318]
[(5, 2, 0, 0, 2, 8), 149.50371098518372, 'Switches:', 547903, 'NO:', 63429, 'SO:', 713766, 'PLT', 0, 'PTRN', 0, 'RW', 23763]
[(5, 2, 0, 0, 2, 9), 27.361391067504883, 'Switches:', 101479, 'NO:', 11671, 'SO:', 131171, 'PLT', 0, 'PTRN', 0, 'RW', 4340]
[(5, 2, 0, 0, 2, 10), 25.358875274658203, 'Switches:', 92599, 'NO:', 10706, 'SO:', 120483, 'PLT', 0, 'PTRN', 0, 'RW', 3995]
