[(2, 33, 1), 0.01953911781311035, 'SF:', 49, 'SB:', 0]
[(2, 33, 2), 0.020061016082763672, 'SF:', 49, 'SB:', 0]
[(2, 33, 3), 0.018805980682373047, 'SF:', 49, 'SB:', 0]
[(2, 33, 4), 0.021213769912719727, 'SF:', 49, 'SB:', 0]
[(2, 33, 5), 0.01945185661315918, 'SF:', 49, 'SB:', 0]
[(2, 33, 6), 0.019915103912353516, 'SF:', 49, 'SB:', 0]
[(2, 33, 7), 0.02200007438659668, 'SF:', 49, 'SB:', 0]
[(2, 33, 8), 0.019932031631469727, 'SF:', 49, 'SB:', 0]
[(2, 33, 9), 0.019692182540893555, 'SF:', 49, 'SB:', 0]
[(0, 32, 0), 0.002990245819091797, 'SF:', 121, 'SB:', 71]
[(0, 32, 1), 0.012820959091186523, 'SF:', 348, 'SB:', 298]
[(0, 32, 2), 0.007555246353149414, 'SF:', 272, 'SB:', 222]
[(0, 32, 3), 0.008478879928588867, 'SF:', 275, 'SB:', 225]
[(0, 32, 4), 0.056989192962646484, 'SF:', 1473, 'SB:', 1423]
[(0, 32, 5), 0.012377738952636719, 'SF:', 336, 'SB:', 286]
[(0, 32, 6), 0.005097150802612305, 'SF:', 147, 'SB:', 97]
[(0, 32, 7), 0.012859821319580078, 'SF:', 344, 'SB:', 294]
[(0, 32, 8), 0.029552936553955078, 'SF:', 848, 'SB:', 798]
[(0, 32, 9), 0.03071904182434082, 'SF:', 898, 'SB:', 848]
[(1, 32, 0), 0.035797119140625, 'SF:', 121, 'SB:', 71]
[(1, 32, 1), 0.15581893920898438, 'SF:', 348, 'SB:', 298]
[(1, 32, 2), 0.09156179428100586, 'SF:', 272, 'SB:', 222]
[(1, 32, 3), 0.11412692070007324, 'SF:', 275, 'SB:', 225]
[(1, 32, 4), 0.697376012802124, 'SF:', 1473, 'SB:', 1423]
[(1, 32, 5), 0.16557717323303223, 'SF:', 336, 'SB:', 286]
[(1, 32, 6), 0.04911994934082031, 'SF:', 147, 'SB:', 97]
[(1, 32, 7), 0.15327882766723633, 'SF:', 344, 'SB:', 294]
[(1, 32, 8), 0.41578006744384766, 'SF:', 848, 'SB:', 798]
[(1, 32, 9), 0.41332387924194336, 'SF:', 898, 'SB:', 848]
[(2, 32, 0), 0.0215151309967041, 'SF:', 50, 'SB:', 0]
[(2, 32, 1), 0.02192211151123047, 'SF:', 50, 'SB:', 0]
[(2, 32, 2), 0.021648883819580078, 'SF:', 50, 'SB:', 0]
[(2, 32, 3), 0.021680831909179688, 'SF:', 50, 'SB:', 0]
[(2, 32, 4), 0.02311873435974121, 'SF:', 50, 'SB:', 0]
[(2, 32, 5), 0.02225780487060547, 'SF:', 50, 'SB:', 0]
[(2, 32, 6), 0.021100997924804688, 'SF:', 50, 'SB:', 0]
[(2, 32, 7), 0.02033400535583496, 'SF:', 50, 'SB:', 0]
[(2, 32, 8), 0.020492076873779297, 'SF:', 50, 'SB:', 0]
[(2, 32, 9), 0.019516944885253906, 'SF:', 50, 'SB:', 0]
[(0, 31, 0), 0.003901243209838867, 'SF:', 117, 'SB:', 66]
[(0, 31, 1), 0.016510009765625, 'SF:', 491, 'SB:', 440]
[(0, 31, 2), 1.126945972442627, 'SF:', 29700, 'SB:', 29649]
[(0, 31, 3), 0.00794219970703125, 'SF:', 335, 'SB:', 284]
[(0, 31, 4), 0.042199134826660156, 'SF:', 1085, 'SB:', 1034]
[(0, 31, 5), 0.2709360122680664, 'SF:', 7343, 'SB:', 7292]
[(0, 31, 6), 0.06686997413635254, 'SF:', 2052, 'SB:', 2001]
[(0, 31, 7), 0.016302824020385742, 'SF:', 455, 'SB:', 404]
[(0, 31, 8), 0.008568048477172852, 'SF:', 239, 'SB:', 188]
[(0, 31, 9), 0.04512190818786621, 'SF:', 1212, 'SB:', 1161]
[(1, 31, 0), 0.03848695755004883, 'SF:', 117, 'SB:', 66]
