[27, 2, 0, 0.04787707328796387, 'SF:', 1183, 'SB:', 1128]
[27, 3, 0, 0.013166189193725586, 'SF:', 405, 'SB:', 350]
[27, 4, 0, 0.02909398078918457, 'SF:', 863, 'SB:', 808]
[27, 5, 0, 2.2174837589263916, 'SF:', 54514, 'SB:', 54459]
[27, 6, 0, 0.033804893493652344, 'SF:', 896, 'SB:', 841]
[27, 7, 0, 0.01392674446105957, 'SF:', 367, 'SB:', 312]
[27, 8, 0, 0.11124920845031738, 'SF:', 2912, 'SB:', 2857]
[27, 9, 0, 0.009781122207641602, 'SF:', 249, 'SB:', 194]
[26, 0, 0, 0.1752779483795166, 'SF:', 4623, 'SB:', 4567]
[26, 1, 0, 0.878554105758667, 'SF:', 24763, 'SB:', 24707]
[26, 2, 0, 0.05684399604797363, 'SF:', 1400, 'SB:', 1344]
[26, 3, 0, 2.777467727661133, 'SF:', 62844, 'SB:', 62788]
[26, 4, 0, 0.1417069435119629, 'SF:', 3804, 'SB:', 3748]
[26, 5, 0, 0.026475906372070312, 'SF:', 626, 'SB:', 570]
[26, 6, 0, 0.16020894050598145, 'SF:', 2964, 'SB:', 2908]
[26, 7, 0, 4.993971347808838, 'SF:', 88520, 'SB:', 88464]
[26, 8, 0, 0.17660903930664062, 'SF:', 4932, 'SB:', 4876]
[26, 9, 0, 0.1680738925933838, 'SF:', 4952, 'SB:', 4896]
[25, 0, 0, 0.3537020683288574, 'SF:', 9846, 'SB:', 9789]
[25, 1, 0, 0.24455499649047852, 'SF:', 5106, 'SB:', 5049]
[25, 2, 0, 0.1661078929901123, 'SF:', 3771, 'SB:', 3714]
[25, 3, 0, 0.13186287879943848, 'SF:', 3496, 'SB:', 3439]
[25, 4, 0, 0.6897130012512207, 'SF:', 19234, 'SB:', 19177]
[25, 5, 0, 0.031213045120239258, 'SF:', 798, 'SB:', 741]
[25, 6, 0, 0.7152740955352783, 'SF:', 17072, 'SB:', 17015]
[25, 7, 0, 0.0041332244873046875, 'SF:', 124, 'SB:', 67]
[25, 8, 0, 0.056257009506225586, 'SF:', 1663, 'SB:', 1606]
[25, 9, 0, 0.04829096794128418, 'SF:', 1452, 'SB:', 1395]
[24, 0, 0, 0.008689165115356445, 'SF:', 215, 'SB:', 157]
[24, 1, 0, 0.06148099899291992, 'SF:', 1402, 'SB:', 1344]
[24, 2, 0, 0.10402679443359375, 'SF:', 2918, 'SB:', 2860]
[24, 3, 0, 0.09912300109863281, 'SF:', 2730, 'SB:', 2672]
[24, 4, 0, 0.22036099433898926, 'SF:', 4987, 'SB:', 4929]
[24, 5, 0, 0.004246234893798828, 'SF:', 144, 'SB:', 86]
[24, 6, 0, 3.823791027069092, 'SF:', 92592, 'SB:', 92534]
[24, 7, 0, 1.1179800033569336, 'SF:', 30212, 'SB:', 30154]
[24, 8, 0, 0.25765299797058105, 'SF:', 6716, 'SB:', 6658]
[24, 9, 0, 2.2089531421661377, 'SF:', 44980, 'SB:', 44922]
[23, 0, 0, 0.018910884857177734, 'SF:', 492, 'SB:', 433]
[23, 1, 0, 1.9417309761047363, 'SF:', 44039, 'SB:', 43980]
[23, 2, 0, 0.646198034286499, 'SF:', 16224, 'SB:', 16165]
[23, 3, 0, 0.44105100631713867, 'SF:', 12435, 'SB:', 12376]
[23, 4, 0, 0.5000910758972168, 'SF:', 12637, 'SB:', 12578]
[23, 5, 0, 0.4231569766998291, 'SF:', 9957, 'SB:', 9898]
[23, 6, 0, 0.03680610656738281, 'SF:', 1045, 'SB:', 986]
[23, 7, 0, 2.9233860969543457, 'SF:', 72249, 'SB:', 72190]
[23, 8, 0, 0.41820693016052246, 'SF:', 10550, 'SB:', 10491]
[23, 9, 0, 6.492445230484009, 'SF:', 153135, 'SB:', 153076]
[22, 0, 0, 0.7951450347900391, 'SF:', 25248, 'SB:', 25188]
[22, 1, 0, 0.28331899642944336, 'SF:', 7204, 'SB:', 7144]
[22, 2, 0, 0.01339101791381836, 'SF:', 348, 'SB:', 288]
[22, 3, 0, 0.4754638671875, 'SF:', 11398, 'SB:', 11338]
[22, 4, 0, 0.019711971282958984, 'SF:', 516, 'SB:', 456]
[22, 5, 0, 0.09044599533081055, 'SF:', 2159, 'SB:', 2099]
[22, 6, 0, 0.7751302719116211, 'SF:', 22602, 'SB:', 22542]
[22, 7, 0, 0.5906591415405273, 'SF:', 18108, 'SB:', 18048]
[22, 8, 0, 0.4139058589935303, 'SF:', 9820, 'SB:', 9760]
[22, 9, 0, 0.14696669578552246, 'SF:', 3261, 'SB:', 3201]
