[(3, 27, 2), 0.7038278579711914, 'SF:', 321, 'SB:', 266]
[(3, 27, 3), 0.5480160713195801, 'SF:', 295, 'SB:', 240]
[(3, 27, 4), 1.858818769454956, 'SF:', 986, 'SB:', 931]
[(3, 27, 5), 0.07990217208862305, 'SF:', 73, 'SB:', 18]
[(3, 27, 6), 0.04320478439331055, 'SF:', 55, 'SB:', 0]
[(3, 27, 7), 0.19803118705749512, 'SF:', 137, 'SB:', 82]
[(3, 27, 8), 0.03927779197692871, 'SF:', 55, 'SB:', 0]
[(3, 27, 9), 0.7188131809234619, 'SF:', 371, 'SB:', 316]
[(3, 26, 0), 1.921520709991455, 'SF:', 901, 'SB:', 845]
[(3, 26, 1), 0.37422895431518555, 'SF:', 211, 'SB:', 155]
[(3, 26, 2), 0.160675048828125, 'SF:', 104, 'SB:', 48]
[(3, 26, 3), 0.1591329574584961, 'SF:', 117, 'SB:', 61]
[(3, 26, 4), 1.076016902923584, 'SF:', 575, 'SB:', 519]
[(3, 26, 5), 0.13318610191345215, 'SF:', 104, 'SB:', 48]
[(3, 26, 6), 0.04367208480834961, 'SF:', 56, 'SB:', 0]
[(3, 26, 7), 2.3212740421295166, 'SF:', 1235, 'SB:', 1179]
[(3, 26, 8), 0.04251503944396973, 'SF:', 56, 'SB:', 0]
[(3, 26, 9), 0.3274972438812256, 'SF:', 205, 'SB:', 149]
[(3, 25, 0), 0.04194808006286621, 'SF:', 57, 'SB:', 0]
[(3, 25, 1), 4.274969100952148, 'SF:', 1959, 'SB:', 1902]
[(3, 25, 2), 0.06572818756103516, 'SF:', 69, 'SB:', 12]
[(3, 25, 3), 0.3275148868560791, 'SF:', 206, 'SB:', 149]
[(3, 25, 4), 0.9733371734619141, 'SF:', 494, 'SB:', 437]
[(3, 25, 5), 0.1040639877319336, 'SF:', 84, 'SB:', 27]
[(3, 25, 6), 1.4110610485076904, 'SF:', 737, 'SB:', 680]
[(3, 25, 7), 0.4152979850769043, 'SF:', 263, 'SB:', 206]
[(3, 25, 8), 0.06550097465515137, 'SF:', 70, 'SB:', 13]
[(3, 25, 9), 0.1773819923400879, 'SF:', 122, 'SB:', 65]
[(3, 24, 0), 0.31427502632141113, 'SF:', 177, 'SB:', 119]
[(3, 24, 1), 1.649726152420044, 'SF:', 856, 'SB:', 798]
[(3, 24, 2), 0.11222720146179199, 'SF:', 90, 'SB:', 32]
[(3, 24, 3), 0.9687998294830322, 'SF:', 512, 'SB:', 454]
[(3, 24, 4), 1.5675420761108398, 'SF:', 704, 'SB:', 646]
[(3, 24, 5), 0.22902297973632812, 'SF:', 146, 'SB:', 88]
[(3, 24, 6), 0.3771090507507324, 'SF:', 224, 'SB:', 166]
[(3, 24, 7), 0.5026130676269531, 'SF:', 282, 'SB:', 224]
[(3, 24, 8), 0.06650924682617188, 'SF:', 66, 'SB:', 8]
[(3, 24, 9), 0.2562391757965088, 'SF:', 152, 'SB:', 94]
[(3, 23, 0), 1.137589931488037, 'SF:', 596, 'SB:', 537]
[(3, 23, 1), 5.577502965927124, 'SF:', 2733, 'SB:', 2674]
[(3, 23, 2), 1.7977850437164307, 'SF:', 981, 'SB:', 922]
[(3, 23, 3), 0.18513202667236328, 'SF:', 138, 'SB:', 79]
[(3, 23, 4), 0.4854416847229004, 'SF:', 249, 'SB:', 190]
[(3, 23, 5), 0.04255795478820801, 'SF:', 59, 'SB:', 0]
[(3, 23, 6), 5.90448522567749, 'SF:', 2994, 'SB:', 2935]
[(3, 23, 7), 3.0849499702453613, 'SF:', 1622, 'SB:', 1563]
[(3, 23, 8), 0.5624830722808838, 'SF:', 339, 'SB:', 280]
[(3, 23, 9), 0.27488207817077637, 'SF:', 181, 'SB:', 122]
[(3, 22, 0), 1.3380730152130127, 'SF:', 736, 'SB:', 676]
[(3, 22, 1), 0.0749361515045166, 'SF:', 74, 'SB:', 14]
[(3, 22, 2), 4.678705930709839, 'SF:', 2450, 'SB:', 2390]
[(3, 22, 3), 1.0715126991271973, 'SF:', 607, 'SB:', 547]
[(3, 22, 4), 7.357657194137573, 'SF:', 3725, 'SB:', 3665]
[(3, 22, 5), 0.3520350456237793, 'SF:', 197, 'SB:', 137]
[(3, 22, 6), 2.9691689014434814, 'SF:', 1454, 'SB:', 1394]
[(3, 22, 7), 1.0046720504760742, 'SF:', 539, 'SB:', 479]
[(3, 22, 8), 0.07232904434204102, 'SF:', 74, 'SB:', 14]
[(3, 22, 9), 0.09174609184265137, 'SF:', 80, 'SB:', 20]
[(3, 21, 0), 0.3735313415527344, 'SF:', 213, 'SB:', 152]
[(3, 21, 1), 0.18285894393920898, 'SF:', 128, 'SB:', 67]
[(3, 21, 2), 3.498424768447876, 'SF:', 1475, 'SB:', 1414]
[(3, 21, 3), 2.05658221244812, 'SF:', 1074, 'SB:', 1013]
[(3, 21, 4), 1.4053499698638916, 'SF:', 715, 'SB:', 654]
[(3, 21, 5), 2.062775135040283, 'SF:', 1056, 'SB:', 995]
[(3, 21, 6), 2.1379590034484863, 'SF:', 1131, 'SB:', 1070]
[(3, 21, 7), 0.5215611457824707, 'SF:', 298, 'SB:', 237]
[(3, 21, 8), 13.159496068954468, 'SF:', 6665, 'SB:', 6604]
[(3, 21, 9), 19.74196720123291, 'SF:', 9613, 'SB:', 9552]
[(3, 20, 0), 12.738348007202148, 'SF:', 6076, 'SB:', 6014]
[(3, 20, 1), 7.438630104064941, 'SF:', 3568, 'SB:', 3506]
[(3, 20, 2), 4.826196908950806, 'SF:', 2460, 'SB:', 2398]
[(3, 20, 3), 5.452975034713745, 'SF:', 2573, 'SB:', 2511]
[(3, 20, 4), 71.548348903656, 'SF:', 32687, 'SB:', 32625]
[(3, 20, 5), 20.29978585243225, 'SF:', 9561, 'SB:', 9499]
[(3, 20, 6), 0.13459014892578125, 'SF:', 96, 'SB:', 34]
[(3, 20, 7), 1.51711106300354, 'SF:', 706, 'SB:', 644]
[(3, 20, 8), 0.13581418991088867, 'SF:', 96, 'SB:', 34]
[(3, 20, 9), 10.637691020965576, 'SF:', 4816, 'SB:', 4754]
[(3, 19, 0), 5.734004020690918, 'SF:', 2878, 'SB:', 2815]
[(3, 19, 1), 10.644539833068848, 'SF:', 5005, 'SB:', 4942]
[(3, 18, 0), 6.986687898635864, 'SF:', 3361, 'SB:', 3297]
[(3, 18, 1), 23.11307120323181, 'SF:', 10391, 'SB:', 10327]
[(3, 18, 2), 61.17712616920471, 'SF:', 28844, 'SB:', 28780]
[(3, 18, 3), 1.3195669651031494, 'SF:', 664, 'SB:', 600]
[(3, 18, 4), 1.6609420776367188, 'SF:', 845, 'SB:', 781]
[(3, 18, 5), 1.7419440746307373, 'SF:', 885, 'SB:', 821]
[(3, 18, 6), 13.797969102859497, 'SF:', 6353, 'SB:', 6289]
[(3, 18, 7), 6.668089151382446, 'SF:', 3167, 'SB:', 3103]
[(3, 18, 8), 33.07032489776611, 'SF:', 14659, 'SB:', 14595]
[(3, 18, 9), 3.5680739879608154, 'SF:', 1729, 'SB:', 1665]
[(3, 17, 0), 10.247739791870117, 'SF:', 4676, 'SB:', 4611]
[(3, 17, 1), 2.602384090423584, 'SF:', 1236, 'SB:', 1171]
[(3, 17, 2), 23.51292109489441, 'SF:', 10932, 'SB:', 10867]
[(3, 17, 3), 2.137021064758301, 'SF:', 921, 'SB:', 856]
[(3, 17, 4), 68.05341386795044, 'SF:', 31794, 'SB:', 31729]
[(3, 17, 5), 6.484695196151733, 'SF:', 2737, 'SB:', 2672]
