[(10, 1, 0, 0, 0, 1), 0.6418020725250244, 'Switches:', 1355, 'NO:', 180, 'SO:', 3525, 'PLT', 0, 'PTRN', 0, 'RW', 118]
[(10, 1, 0, 0, 0, 2), 0.557096004486084, 'Switches:', 1658, 'NO:', 176, 'SO:', 3099, 'PLT', 0, 'PTRN', 0, 'RW', 113]
[(10, 1, 0, 0, 0, 3), 0.5219159126281738, 'Switches:', 1241, 'NO:', 171, 'SO:', 3137, 'PLT', 0, 'PTRN', 0, 'RW', 113]
[(10, 1, 0, 0, 0, 4), 0.22659897804260254, 'Switches:', 822, 'NO:', 73, 'SO:', 1131, 'PLT', 0, 'PTRN', 0, 'RW', 34]
[(10, 1, 0, 0, 0, 5), 0.1632540225982666, 'Switches:', 529, 'NO:', 67, 'SO:', 986, 'PLT', 0, 'PTRN', 0, 'RW', 36]
[(10, 1, 0, 0, 0, 6), 0.5209717750549316, 'Switches:', 1399, 'NO:', 144, 'SO:', 2799, 'PLT', 0, 'PTRN', 0, 'RW', 90]
[(10, 1, 0, 0, 0, 7), 0.5542590618133545, 'Switches:', 1295, 'NO:', 153, 'SO:', 3110, 'PLT', 0, 'PTRN', 0, 'RW', 103]
[(10, 1, 0, 0, 0, 8), 1.270401954650879, 'Switches:', 3487, 'NO:', 348, 'SO:', 6539, 'PLT', 0, 'PTRN', 0, 'RW', 238]
[(10, 1, 0, 0, 0, 9), 0.10735106468200684, 'Switches:', 341, 'NO:', 41, 'SO:', 464, 'PLT', 0, 'PTRN', 0, 'RW', 21]
[(10, 1, 0, 0, 0, 10), 0.5348517894744873, 'Switches:', 1630, 'NO:', 158, 'SO:', 2977, 'PLT', 0, 'PTRN', 0, 'RW', 104]
[(10, 1, 0, 0, 1, 1), 0.679297924041748, 'Switches:', 2082, 'NO:', 181, 'SO:', 3652, 'PLT', 0, 'PTRN', 0, 'RW', 120]
[(10, 1, 0, 0, 1, 2), 1.0155019760131836, 'Switches:', 2801, 'NO:', 248, 'SO:', 5073, 'PLT', 0, 'PTRN', 0, 'RW', 166]
[(10, 1, 0, 0, 1, 3), 3.0321767330169678, 'Switches:', 9690, 'NO:', 838, 'SO:', 16625, 'PLT', 0, 'PTRN', 0, 'RW', 605]
[(10, 1, 0, 0, 1, 4), 1.5749289989471436, 'Switches:', 4688, 'NO:', 475, 'SO:', 9174, 'PLT', 0, 'PTRN', 0, 'RW', 339]
[(10, 1, 0, 0, 1, 5), 0.23516607284545898, 'Switches:', 815, 'NO:', 87, 'SO:', 1346, 'PLT', 0, 'PTRN', 0, 'RW', 44]
